round_id,tickers,round_final_value,avg_stock_cagr,portfolio_cagr,max_drawdown,win_rate,used_cash_ratio,target_hit_rate,floor_stop_rate,max_loss_stop_rate,exit_reason_counts,candidate_diagnostics,anomalies
1,"[""600090"", ""600393"", ""000006""]",1146555.73,0.23088753246139102,0.023055500811630658,-0.17856633261871635,0.3333333333333333,0.5313605027679918,0.3333333333333333,0.0,0.0,"{""state_reject"": 2, ""target_hit"": 1}","[{""ticker"": ""600090"", ""underwrite_score"": 78.73, ""realization_score"": 72.61, ""floor_price"": 3.88, ""recognition_price"": 5.68, ""vcrf_state"": ""ATTACK"", ""position_state"": ""attack"", ""primary_type"": ""compounder"", ""flow_stage"": ""ignition""}, {""ticker"": ""600393"", ""underwrite_score"": 76.03, ""realization_score"": 82.03, ""floor_price"": 1.8, ""recognition_price"": 2.64, ""vcrf_state"": ""ATTACK"", ""position_state"": ""attack"", ""primary_type"": ""compounder"", ""flow_stage"": ""trend""}, {""ticker"": ""000006"", ""underwrite_score"": 77.72, ""realization_score"": 80.38, ""floor_price"": 4.89, ""recognition_price"": 7.17, ""vcrf_state"": ""ATTACK"", ""position_state"": ""attack"", ""primary_type"": ""compounder"", ""flow_stage"": ""trend""}]",[]
2,"[""600297"", ""000002"", ""000001""]",985563.88,-0.27502186979094034,-0.0024206213267439214,-0.15555692756264805,0.3333333333333333,0.48778701218696235,0.0,0.0,0.6666666666666666,"{""max_loss_stop"": 2, ""end_of_data"": 1}","[{""ticker"": ""600297"", ""underwrite_score"": 78.81, ""realization_score"": 70.08, ""floor_price"": 4.71, ""recognition_price"": 6.91, ""vcrf_state"": ""ATTACK"", ""position_state"": ""attack"", ""primary_type"": ""compounder"", ""flow_stage"": ""trend""}, {""ticker"": ""000002"", ""underwrite_score"": 86.13, ""realization_score"": 79.6, ""floor_price"": 18.81, ""recognition_price"": 27.59, ""vcrf_state"": ""ATTACK"", ""position_state"": ""attack"", ""primary_type"": ""compounder"", ""flow_stage"": ""trend""}, {""ticker"": ""000001"", ""underwrite_score"": 89.02, ""realization_score"": 79.6, ""floor_price"": 19.73, ""recognition_price"": 28.94, ""vcrf_state"": ""ATTACK"", ""position_state"": ""attack"", ""primary_type"": ""compounder"", ""flow_stage"": ""trend""}]",[]
3,"[""600705"", ""000042"", ""000926""]",915071.79,-0.34364779156261954,-0.014683260242333018,-0.24209752199139523,0.3333333333333333,0.7273929965032099,0.0,0.0,0.6666666666666666,"{""max_loss_stop"": 2, ""end_of_data"": 1}","[{""ticker"": ""600705"", ""underwrite_score"": 84.79, ""realization_score"": 78.79, ""floor_price"": 4.05, ""recognition_price"": 5.94, ""vcrf_state"": ""ATTACK"", ""position_state"": ""attack"", ""primary_type"": ""compounder"", ""flow_stage"": ""trend""}, {""ticker"": ""000042"", ""underwrite_score"": 79.08, ""realization_score"": 82.03, ""floor_price"": 7.88, ""recognition_price"": 11.56, ""vcrf_state"": ""ATTACK"", ""position_state"": ""attack"", ""primary_type"": ""compounder"", ""flow_stage"": ""trend""}, {""ticker"": ""000926"", ""underwrite_score"": 82.55, ""realization_score"": 82.03, ""floor_price"": 6.86, ""recognition_price"": 10.05, ""vcrf_state"": ""ATTACK"", ""position_state"": ""attack"", ""primary_type"": ""compounder"", ""flow_stage"": ""trend""}]",[]
4,"[""600859""]",933105.75,-0.8109827845471173,-0.011473132580097523,-0.08343908196582572,0.0,0.35037,0.0,0.0,1.0,"{""max_loss_stop"": 1}","[{""ticker"": ""600859"", ""underwrite_score"": 80.91, ""realization_score"": 79.04, ""floor_price"": 15.8, ""recognition_price"": 23.18, ""vcrf_state"": ""ATTACK"", ""position_state"": ""attack"", ""primary_type"": ""compounder"", ""flow_stage"": ""trend""}]",[]
