Debt_Tripwire,Weight_Logic,Min_Realization,Debt_Kills,Avg_Tripwire_Threshold,Avg_Underwrite,Avg_Realization,ATTACK_Signals,Tradable_ATTACK_Signals,Unique_ATTACK_Tickers
0.8,dynamic_by_sleeve,60.0,223,0.7428,48.2827,52.0159,97,97,7
0.5,dynamic_by_sleeve,60.0,169,0.4771,48.3366,52.0159,97,97,7
0.3,dynamic_by_sleeve,60.0,112,0.3,48.3719,52.0159,97,97,7
0.8,dynamic_by_sleeve,65.0,223,0.7428,48.2827,52.0159,39,39,6
0.5,dynamic_by_sleeve,65.0,169,0.4771,48.3366,52.0159,39,39,6
0.3,dynamic_by_sleeve,65.0,112,0.3,48.3719,52.0159,39,39,6
0.8,drop_50s_redistribute,60.0,223,0.7428,48.2827,49.0246,35,35,4
0.5,drop_50s_redistribute,60.0,169,0.4771,48.3366,49.0246,35,35,4
0.3,drop_50s_redistribute,60.0,112,0.3,48.3719,49.0246,35,35,4
0.8,static_equal,60.0,223,0.7428,48.2827,48.6996,29,29,3
0.5,static_equal,60.0,169,0.4771,48.3366,48.6996,29,29,3
0.3,static_equal,60.0,112,0.3,48.3719,48.6996,29,29,3
0.8,drop_50s_redistribute,65.0,223,0.7428,48.2827,49.0246,11,11,4
0.5,drop_50s_redistribute,65.0,169,0.4771,48.3366,49.0246,11,11,4
0.3,drop_50s_redistribute,65.0,112,0.3,48.3719,49.0246,11,11,4
0.8,dynamic_by_sleeve,70.0,223,0.7428,48.2827,52.0159,7,7,3
0.5,dynamic_by_sleeve,70.0,169,0.4771,48.3366,52.0159,7,7,3
0.3,dynamic_by_sleeve,70.0,112,0.3,48.3719,52.0159,7,7,3
0.8,static_equal,65.0,223,0.7428,48.2827,48.6996,4,4,3
0.5,static_equal,65.0,169,0.4771,48.3366,48.6996,4,4,3
0.3,static_equal,65.0,112,0.3,48.3719,48.6996,4,4,3
0.8,drop_50s_redistribute,70.0,223,0.7428,48.2827,49.0246,1,1,1
0.5,drop_50s_redistribute,70.0,169,0.4771,48.3366,49.0246,1,1,1
0.3,drop_50s_redistribute,70.0,112,0.3,48.3719,49.0246,1,1,1
0.8,static_equal,70.0,223,0.7428,48.2827,48.6996,1,1,1
0.5,static_equal,70.0,169,0.4771,48.3366,48.6996,1,1,1
0.3,static_equal,70.0,112,0.3,48.3719,48.6996,1,1,1
