ticker,entry_date,exit_date,entry_price,exit_price,shares,hold_bars,hold_days,exit_reason,gross_return,net_pnl,annualized_return
600036,2022-11-01,2022-12-01,24.2335,32.0706,13700,23,31,state_reject,0.323399,106689.74,26.090172858964024
688068,2024-09-02,2024-11-20,25.8129,45.7371,12900,51,80,target_hit,0.771871,256441.31,12.597875791130571
603808,2024-12-31,2024-12-31,7.0335,6.9865,47300,2,1,end_of_data,-0.006684,-2594.38,-0.9135115695461561
